"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count","sources"
"1/1/2011 0:00",1,0,0,1,9.84,14.395,"81",0,3,13,16,"ad campaign"
"1/1/2011 1:00",1,0,0,1,9.02,13.635,"80",0,8,32,40,"www.yahoo.com"
"1/1/2011 2:00",1,0,0,1,9.02,13.635,"80",0,5,27,32,"www.google.fi"
"1/1/2011 3:00",1,0,0,1,9.84,14.395,"75",0,3,10,13,"AD campaign"
"1/1/2011 4:00",1,0,0,1,9.84,14.395,"75",0,0,1,1,"Twitter"
"1/1/2011 5:00",1,0,0,2,9.84,12.88,"75",6.0032,0,1,1,"www.bing.com"
"1/1/2011 6:00",1,0,0,1,9.02,13.635,"80",0,2,0,2,"ad campaign"
"1/1/2011 7:00",1,0,0,1,8.2,12.88,"86",0,1,2,3,"www.yahoo.com"
"1/1/2011 8:00",1,0,0,1,9.84,14.395,"75",0,1,7,8,"www.yahoo.com"
"1/1/2011 9:00",1,0,0,1,13.12,17.425,"76",0,8,6,14,"www.bing.com"
"1/1/2011 10:00",1,0,0,1,15.58,19.695,"76",16.9979,12,24,36,"www.bing.com"
"1/1/2011 11:00",1,0,0,1,14.76,16.665,"81",19.0012,26,30,56,"www.yahoo.com"
"1/1/2011 12:00",1,0,0,1,17.22,21.21,"77",19.0012,29,55,84,"www.google.fi"
"1/1/2011 13:00",1,0,0,2,18.86,22.725,"72",19.9995,47,47,94,"AD campaign"
"1/1/2011 14:00",1,0,0,2,18.86,22.725,"72",19.0012,35,71,106,"www.google.co.uk"
"1/1/2011 15:00",1,0,0,2,18.04,21.97,"77",19.9995,40,70,110,"www.google.co.uk"
"1/1/2011 16:00",1,0,0,2,17.22,21.21,"82",19.9995,41,52,93,"AD campaign"
"1/1/2011 17:00",1,0,0,2,18.04,21.97,"82",19.0012,15,52,67,"facebook page"
"1/1/2011 18:00",1,0,0,3,17.22,21.21,"88",16.9979,9,26,35,"www.google.fi"
"1/1/2011 19:00",1,0,0,3,17.22,21.21,"88",16.9979,6,31,37,"www.yahoo.com"
"1/1/2011 20:00",1,0,0,2,16.4,20.455,"87",16.9979,11,25,36,"ad campaign"
"1/1/2011 21:00",1,0,0,2,16.4,20.455,"87",12.998,3,31,34,"www.google.fi"
"1/1/2011 22:00",1,0,0,2,16.4,20.455,"94",15.0013,11,17,28,"Ad Campaign"
"1/1/2011 23:00",1,0,0,2,18.86,22.725,"88",19.9995,15,24,39,"facebook page"
"1/2/2011 0:00",1,0,0,2,18.86,22.725,"88",19.9995,4,13,17,"AD campaign"
"1/2/2011 1:00",1,0,0,2,18.04,21.97,"94",16.9979,1,16,17,"Twitter    "
"1/2/2011 2:00",1,0,0,2,17.22,21.21,"100",19.0012,1,8,9,NA
"1/2/2011 3:00",1,0,0,2,18.86,22.725,"94",12.998,2,4,6,"www.google.co.uk"
"1/2/2011 4:00",1,0,0,2,18.86,22.725,"94",12.998,2,1,3,"ad campaign"
"1/2/2011 6:00",1,0,0,3,17.22,21.21,"77",19.9995,0,2,2,"www.yahoo.com"
"1/2/2011 7:00",1,0,0,2,16.4,20.455,"76",12.998,0,1,1,"www.google.com"
"1/2/2011 8:00",1,0,0,3,16.4,20.455,"71",15.0013,0,8,8,"www.yahoo.com"
"1/2/2011 9:00",1,0,0,2,15.58,19.695,"76",15.0013,1,19,20,NA
"1/2/2011 10:00",1,0,0,2,14.76,17.425,"81",15.0013,7,46,53,"direct"
"1/2/2011 11:00",1,0,0,2,14.76,16.665,"71",16.9979,16,54,70,"www.google.co.uk"
"1/2/2011 12:00",1,0,0,2,14.76,16.665,"66",19.9995,20,73,93,NA
"1/2/2011 13:00",1,0,0,2,14.76,17.425,"66",8.9981,11,64,75,"www.google.com"
"1/2/2011 14:00",1,0,0,3,14.76,17.425,"76",12.998,4,55,59,"blog"
"1/2/2011 15:00",1,0,0,3,13.94,16.665,"81",11.0014,19,55,74,"blog"
"1/2/2011 16:00",1,0,0,3,13.94,16.665,"71",11.0014,9,67,76,"direct"
"1/2/2011 17:00",1,0,0,1,13.94,16.665,"57",12.998,7,58,65,"www.bing.com"
"1/2/2011 18:00",1,0,0,2,14.76,16.665,"46",22.0028,10,43,53,"facebook page"
"1/2/2011 19:00",1,0,0,1,13.12,14.395,"42",30.0026,1,29,30,"ad campaign"
"1/2/2011 20:00",1,0,0,1,12.3,13.635,"39",23.9994,5,17,22,"ad campaign"
"1/2/2011 21:00",1,0,0,1,10.66,11.365,"44",22.0028,11,20,31,"ad campaign"
"1/2/2011 22:00",1,0,0,1,9.84,10.605,"44",19.9995,0,9,9,"ad campaign"
"1/2/2011 23:00",1,0,0,1,9.02,11.365,"47",11.0014,0,8,8,"www.google.co.uk"
"1/3/2011 0:00",1,0,1,1,9.02,9.85,"44",23.9994,0,5,5,"direct"
"1/3/2011 1:00",1,0,1,1,8.2,8.335,"44",27.9993,0,2,2,"direct"
"1/3/2011 4:00",1,0,1,1,6.56,6.82,"47",26.0027,0,1,1,"blog"
"1/3/2011 5:00",1,0,1,1,6.56,6.82,"47",19.0012,0,3,3,"Ad Campaign"
"1/3/2011 6:00",1,0,1,1,5.74,5.305,"50",26.0027,0,30,30,"Twitter"
"1/3/2011 7:00",1,0,1,1,5.74,6.82,"50",12.998,1,63,64,"www.bing.com"
"1/3/2011 8:00",1,0,1,1,5.74,6.06,"50",19.0012,1,153,154,"facebook page"
"1/3/2011 9:00",1,0,1,1,6.56,6.82,"43",26.0027,7,81,88,"www.bing.com"
"1/3/2011 10:00",1,0,1,1,7.38,8.335,"43",16.9979,11,33,44,"Ad Campaign"
"1/3/2011 11:00",1,0,1,1,8.2,9.09,"40",22.0028,10,41,51,"blog"
"1/3/2011 12:00",1,0,1,1,9.02,10.605,"35",19.9995,13,48,61,"www.google.co.uk"
"1/3/2011 13:00",1,0,1,1,9.84,10.605,"35",19.0012,8,53,61,"ad campaign"
"1/3/2011 14:00",1,0,1,1,10.66,12.12,"30",19.0012,11,66,77,"www.yahoo.com"
"1/3/2011 15:00",1,0,1,1,10.66,12.12,"30",16.9979,14,58,72,"www.yahoo.com"
"1/3/2011 16:00",1,0,1,1,10.66,12.12,"30",16.9979,9,67,76,"facebook page"
"1/3/2011 17:00",1,0,1,1,9.84,11.365,"30",15.0013,11,146,157,"www.yahoo.com"
"1/3/2011 18:00",1,0,1,1,9.84,12.88,"32",7.0015,9,148,157,"www.google.co.uk"
"1/3/2011 19:00",1,0,1,1,8.2,12.88,"47",0,8,102,110,"ad campaign"
